eventdate,street,lat,long,x,y
30/09/2012,GREAT WINDMILL STREET,51.510685,-0.1339126,529596,180733
30/09/2012,QUEENSWAY,51.515408,-0.1882362,525813,181164
30/09/2012,WESTBOURNE GROVE,51.515175,-0.1939386,525418,181128
23/09/2013,BELGRAVE ROAD,51.49032,-0.138078,529364,178461
23/09/2013,CHESTER SQUARE,51.495533,-0.1495506,528553,179021
23/09/2013,DOVER STREET,51.508404,-0.1421695,529029,180465
23/09/2013,ECCLESTON STREET,51.49477,-0.1485436,528625,178937
23/09/2013,GREAT WESTERN ROAD,51.520588,-0.2003406,524959,181719
23/09/2013,LUPUS STREET,51.48819,-0.1381329,529366,178224
23/09/2013,QUEENSWAY,51.515408,-0.1882362,525813,181164
23/09/2013,REGENCY STREET,51.49346,-0.1322999,529756,178820
20/12/2012,GREAT WESTERN ROAD,51.520588,-0.2003406,524959,181719
28/02/2013,BREWER STREET,51.511192,-0.1361615,529438,180786
28/02/2013,DUKE STREET ST JAMES'S,51.50734,-0.1377797,529337,180354
28/02/2013,MARYLEBONE ROAD,51.52324,-0.1504129,528415,182100
28/02/2013,PICTON PLACE,51.515408,-0.1507841,528412,181228
28/02/2013,WIGMORE STREET,51.5158,-0.1521593,528315,181270
02/10/2012,ASHBRIDGE STREET,51.52327,-0.1680164,527194,182073
02/10/2012,BELGRAVE ROAD,51.49032,-0.138078,529364,178461
02/10/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
02/10/2012,ECCLESTON BRIDGE,51.494102,-0.1466265,528760,178867
02/10/2012,ELIZABETH STREET,51.493107,-0.149751,528546,178750
02/10/2012,HUGH STREET,51.49281,-0.1449647,528879,178726
02/10/2012,STRUTTON GROUND,51.496624,-0.1336809,529652,179170
02/10/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
10/07/2012,ALDFORD STREET,51.50885,-0.1523109,528324,180497
10/07/2012,COVENTRY STREET,51.510105,-0.1334536,529629,180669
10/07/2012,DENMAN STREET,51.51075,-0.1339844,529590,180740
10/07/2012,LEICESTER SQUARE,51.510597,-0.1308323,529810,180729
10/07/2012,MARBLE ARCH,51.513344,-0.1590076,527847,180985
10/07/2012,MELCOMBE PLACE,51.52232,-0.1624039,527586,181977
10/07/2012,Not Recorded,0.0,0.0,0,0
10/07/2012,PICCADILLY CIRCUS,51.510098,-0.134549,529553,180667
10/07/2012,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
10/07/2012,VAUXHALL BRIDGE,51.488647,-0.129375,529973,178291
10/07/2012,WHITCOMB STREET,51.50816,-0.1297861,529889,180460
10/07/2012,WILTON ROAD,51.49502,-0.1426527,529033,178976
18/10/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
18/10/2012,GROSVENOR PLACE,51.500652,-0.1497466,528525,179590
18/10/2012,HOBART PLACE,51.497486,-0.1491082,528578,179238
18/10/2012,LEICESTER SQUARE,51.510597,-0.1308323,529810,180729
18/10/2012,MORETON STREET,51.489845,-0.1356066,529537,178413
18/10/2012,TYLER'S COURT,51.51328,-0.1338857,529590,181022
18/10/2012,VILLIERS STREET,51.508396,-0.1243436,530266,180496
17/10/2012,BELGRAVE ROAD,51.49032,-0.138078,529364,178461
17/10/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
17/10/2012,ECCLESTON BRIDGE,51.494102,-0.1466265,528760,178867
17/10/2012,ECCLESTON PLACE,51.49433,-0.1473808,528707,178891
17/10/2012,PADDINGTON STREET,51.520657,-0.1539374,528178,181807
17/10/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
16/08/2012,PICCADILLY CIRCUS,51.50986,-0.1348469,529533,180640
16/08/2012,REGENT STREET,51.516247,-0.1423526,528994,181336
16/08/2012,TERMINUS PLACE,51.49618,-0.1451965,528853,179100
16/08/2012,VICTORIA STREET,51.49657,-0.1428958,529012,179148
12/02/2013,ASHLEY PLACE,51.496082,-0.141601,529103,179096
12/02/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
12/02/2013,FRANCIS STREET,51.496666,-0.1370714,529416,179169
12/02/2013,KNIGHTSBRIDGE,51.502438,-0.1562014,528072,179777
12/02/2013,MELCOMBE PLACE,51.52232,-0.1624039,527586,181977
12/02/2013,Not Recorded,51.514595,-0.131252,529769,181173
12/02/2013,ST JAMES'S STREET,51.5057,-0.1384752,529293,180171
12/02/2013,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
12/02/2013,UPPER BERKELEY STREET,51.515984,-0.1570235,527977,181282
12/02/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
12/02/2013,WARDOUR STREET,51.51233,-0.1329589,529657,180918
14/07/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
14/07/2012,GOODWIN'S COURT,51.51086,-0.1270238,530073,180765
14/07/2012,GROSVENOR GARDENS,51.495914,-0.1454804,528835,179070
14/07/2012,LISLE STREET,51.511753,-0.1293796,529907,180860
14/07/2012,Not Recorded,0.0,0.0,0,0
14/07/2012,RUPERT STREET,51.511482,-0.1330534,529653,180823
14/07/2012,TORQUAY STREET,51.51997,-0.1921438,525529,181664
14/07/2012,VICTORIA STREET,51.49657,-0.1428958,529012,179148
10/09/2013,BRESSENDEN PLACE,51.497925,-0.1431145,528993,179298
10/09/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
10/09/2013,ECCLESTON SQUARE,51.492588,-0.1428849,529024,178705
10/09/2013,EDGWARE ROAD,51.517857,-0.1671549,527269,181472
10/09/2013,GROSVENOR GARDENS,51.495914,-0.1454804,528835,179070
10/09/2013,GROSVENOR ROAD,51.485706,-0.1456131,528854,177935
10/09/2013,LONGMOORE STREET,51.492905,-0.1396595,529247,178746
10/09/2013,MARYLEBONE ROAD,51.52324,-0.1504129,528415,182100
10/09/2013,VAUXHALL BRIDGE,51.488647,-0.129375,529973,178291
10/09/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
10/09/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
30/07/2012,BELL STREET,51.52132,-0.1680803,527195,181856
30/07/2012,BROADWICK STREET,51.513233,-0.1370583,529370,181011
30/07/2012,BRYDGES PLACE,51.50971,-0.1269126,530084,180637
30/07/2012,GREAT WINDMILL STREET,51.510685,-0.1339126,529596,180733
30/07/2012,Not Recorded,0.0,0.0,0,0
30/07/2012,PICCADILLY,51.50311,-0.1497623,528517,179863
17/06/2013,BAYSWATER ROAD,51.512917,-0.1632581,527553,180930
17/06/2013,BRESSENDEN PLACE,51.497925,-0.1431145,528993,179298
17/06/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
17/06/2013,EDGWARE ROAD,51.517857,-0.1671549,527269,181472
17/06/2013,GROSVENOR GARDENS,51.495914,-0.1454804,528835,179070
17/06/2013,MARYLEBONE ROAD,51.52324,-0.1504129,528415,182100
17/06/2013,Not Recorded,0.0,0.0,0,0
17/06/2013,PRAED STREET,51.515957,-0.1749476,526734,181248
17/06/2013,SUSSEX GARDENS,51.51472,-0.1735193,526836,181113
17/06/2013,WESTBOURNE TERRACE,51.51552,-0.1791649,526442,181191
17/06/2013,WILTON ROAD,51.49502,-0.1426527,529033,178976
25/03/2013,CHILWORTH STREET,51.515045,-0.1803088,526364,181137
25/03/2013,CLEVELAND SQUARE,51.514828,-0.1832436,526161,181108
25/03/2013,DORSET SQUARE,51.522987,-0.1602147,527736,182055
25/03/2013,PARK ROAD,51.529495,-0.1671315,527238,182766
25/03/2013,WESTBOURNE GROVE,51.515175,-0.1939386,525418,181128
24/06/2012,EDGWARE ROAD,51.517857,-0.1671549,527269,181472
04/03/2013,CAMBRIDGE STREET,51.488537,-0.1403703,529210,178259
04/03/2013,ECCLESTON SQUARE,51.492588,-0.1428849,529024,178705
04/03/2013,ESSEX STREET,51.512638,-0.112827,531053,180988
04/03/2013,HAYMARKET,51.510117,-0.1333568,529636,180671
04/03/2013,KENSINGTON GARDENS SQUARE,51.514603,-0.190776,525639,181070
04/03/2013,KILRAVOCK STREET,51.52958,-0.211462,524163,182700
04/03/2013,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
04/03/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
22/04/2013,ABBEY ROAD,51.532787,-0.1781019,526468,183114
22/04/2013,BAYSWATER ROAD,51.512917,-0.1632581,527553,180930
22/04/2013,BUCKINGHAM GATE,51.500042,-0.1407178,529153,179537
22/04/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
22/04/2013,COVENTRY STREET,51.510105,-0.1334536,529629,180669
22/04/2013,ECCLESTON STREET,51.49477,-0.1485436,528625,178937
22/04/2013,LANCASTER GATE,51.511135,-0.1829438,526192,180698
22/04/2013,RUPERT STREET,51.511482,-0.1330534,529653,180823
22/04/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
22/04/2013,VINCENT SQUARE,51.49302,-0.1337485,529657,178769
22/04/2013,WESTBOURNE PARK ROAD,51.51799,-0.1911462,525604,181446
22/04/2013,WESTBOURNE TERRACE,51.51552,-0.1791649,526442,181191
02/01/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
02/01/2013,CHARING CROSS,51.50735,-0.1280092,530015,180373
02/01/2013,SHAFTESBURY AVENUE,51.511116,-0.1335539,529619,180782
02/01/2013,TAVISTOCK CRESCENT,51.520363,-0.200926,524919,181693
02/01/2013,UPPER TACHBROOK STREET,51.49351,-0.139593,529250,178813
02/01/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
02/01/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
02/01/2013,WARWICK WAY,51.490376,-0.1462504,528797,178453
21/12/2012,COVENTRY STREET,51.510105,-0.1334536,529629,180669
21/12/2012,ECCLESTON SQUARE,51.492588,-0.1428849,529024,178705
21/12/2012,ECCLESTON STREET,51.49477,-0.1485436,528625,178937
21/12/2012,ELIZABETH STREET,51.493107,-0.149751,528546,178750
21/12/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
10/11/2012,BAYSWATER ROAD,51.512917,-0.1632581,527553,180930
10/11/2012,LEICESTER SQUARE,51.510597,-0.1308323,529810,180729
15/05/2012,BAKER STREET,51.51945,-0.156278,528019,181669
15/05/2012,BAYSWATER ROAD,51.512917,-0.1632581,527553,180930
15/05/2012,ECCLESTON STREET,51.49477,-0.1485436,528625,178937
15/05/2012,EDGWARE ROAD,51.517857,-0.1671549,527269,181472
15/05/2012,GLOUCESTER PLACE,51.5191,-0.1584399,527870,181626
15/05/2012,HARROW ROAD,51.52653,-0.2079486,524415,182367
15/05/2012,MARYLEBONE ROAD,51.52324,-0.1504129,528415,182100
15/05/2012,Not Recorded,0.0,0.0,0,0
15/05/2012,PICCADILLY,51.50311,-0.1497623,528517,179863
15/05/2012,PORTNALL ROAD,51.531013,-0.2041248,524668,182872
15/05/2012,WESTBOURNE TERRACE ROAD,51.52043,-0.1843544,526069,181729
27/04/2012,Not Recorded,0.0,0.0,0,0
27/04/2012,STILLINGTON STREET,51.494926,-0.1385254,529320,178973
06/06/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
06/06/2013,ECCLESTON BRIDGE,51.494102,-0.1466265,528760,178867
06/06/2013,ELIZABETH BRIDGE,51.49252,-0.1477711,528685,178689
06/06/2013,GROSVENOR ROAD,51.485706,-0.1456131,528854,177935
06/06/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
06/06/2013,WARWICK WAY,51.490376,-0.1462504,528797,178453
06/06/2013,WILTON ROAD,51.49502,-0.1426527,529033,178976
25/11/2012,GLOUCESTER TERRACE,51.51769,-0.1886357,525779,181417
03/07/2012,BUCKINGHAM GATE,51.500042,-0.1407178,529153,179537
03/07/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
03/07/2012,GROSVENOR GARDENS,51.495914,-0.1454804,528835,179070
03/07/2012,SIXTH AVENUE,51.529263,-0.2131756,524045,182662
03/07/2012,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
03/07/2012,VICTORIA STREET,51.49657,-0.1428958,529012,179148
03/07/2012,WARWICK WAY,51.490376,-0.1462504,528797,178453
03/07/2012,WILTON ROAD,51.49502,-0.1426527,529033,178976
18/03/2013,ECCLESTON BRIDGE,51.494102,-0.1466265,528760,178867
18/03/2013,ECCLESTON PLACE,51.49433,-0.1473808,528707,178891
18/03/2013,GILLINGHAM ROW,51.49408,-0.1407208,529170,178875
18/03/2013,HANWAY STREET,51.509796,-0.1279754,530010,180645
18/03/2013,KNIGHTSBRIDGE,51.502438,-0.1562014,528072,179777
18/03/2013,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
18/03/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
18/03/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
18/03/2013,WARWICK WAY,51.490376,-0.1462504,528797,178453
18/03/2013,WATERLOO BRIDGE,51.506084,-0.1147406,530939,180256
18/03/2013,WILTON ROAD,51.49502,-0.1426527,529033,178976
16/02/2013,CRAVEN STREET,51.50783,-0.1255341,530185,180431
16/02/2013,Not Recorded,0.0,0.0,0,0
16/02/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
16/02/2013,WILTON ROAD,51.49502,-0.1426527,529033,178976
06/09/2013,CAMBRIDGE STREET,51.488537,-0.1403703,529210,178259
06/09/2013,EBURY BRIDGE ROAD,51.488445,-0.1507495,528490,178230
06/09/2013,LEICESTER SQUARE,51.510597,-0.1308323,529810,180729
06/09/2013,LUPUS STREET,51.48819,-0.1381329,529366,178224
06/09/2013,PALL MALL,51.50619,-0.135376,529507,180231
06/09/2013,PICCADILLY CIRCUS,51.510098,-0.134549,529553,180667
06/09/2013,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
06/09/2013,VAUXHALL BRIDGE,51.488647,-0.129375,529973,178291
06/09/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
06/09/2013,WILTON ROAD,51.49502,-0.1426527,529033,178976
11/03/2013,CORLETT STREET,51.521122,-0.170337,527039,181830
11/03/2013,DORSET SQUARE,51.522987,-0.1602147,527736,182055
11/03/2013,ELIZABETH STREET,51.493107,-0.149751,528546,178750
11/03/2013,KILBURN LANE,51.53131,-0.2153301,523890,182886
11/03/2013,PIMLICO ROAD,51.49067,-0.1522254,528381,178475
11/06/2013,BAKER STREET,51.51945,-0.156278,528019,181669
11/06/2013,BERKELEY STREET,51.50893,-0.1441656,528889,180520
11/06/2013,BRIDGE PLACE,51.49338,-0.1446252,528901,178790
11/06/2013,BROADWICK STREET,51.513233,-0.1370583,529370,181011
11/06/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
11/06/2013,ECCLESTON PLACE,51.49433,-0.1473808,528707,178891
11/06/2013,ELIZABETH BRIDGE,51.49252,-0.1477711,528685,178689
11/06/2013,GROSVENOR GARDENS,51.495914,-0.1454804,528835,179070
11/06/2013,OLD MARYLEBONE ROAD,51.519005,-0.1663096,527324,181601
11/06/2013,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
11/06/2013,UPPER TACHBROOK STREET,51.49351,-0.139593,529250,178813
11/06/2013,WILTON ROAD,51.49502,-0.1426527,529033,178976
14/01/2013,BAYSWATER ROAD,51.512917,-0.1632581,527553,180930
19/06/2012,DEVONSHIRE CLOSE,51.52145,-0.14726,528639,181907
19/06/2012,LEXINGTON STREET,51.51185,-0.1349818,529518,180861
19/06/2012,VICTORIA STREET,51.49657,-0.1428958,529012,179148
14/05/2013,ROCHESTER ROW,51.493763,-0.1371754,529417,178846
04/10/2012,BLANDFORD STREET,51.517902,-0.1571334,527964,181495
04/10/2012,BUCKINGHAM GATE,51.500042,-0.1407178,529153,179537
04/10/2012,ECCLESTON STREET,51.49477,-0.1485436,528625,178937
04/10/2012,VINCENT STREET,51.492977,-0.1311859,529835,178769
17/02/2013,BOURCHIER STREET,51.512947,-0.1328859,529660,180986
17/02/2013,PICCADILLY CIRCUS,51.510098,-0.134549,529553,180667
17/02/2013,WESTBOURNE GROVE,51.515175,-0.1939386,525418,181128
01/09/2012,FRITH STREET,51.514004,-0.1317807,529734,181106
01/09/2012,OXFORD STREET,51.51545,-0.1406854,529112,181251
01/09/2012,PORCHESTER PLACE,51.515083,-0.1655634,527387,181167
27/04/2013,BAKER STREET,51.51945,-0.156278,528019,181669
27/04/2013,BRESSENDEN PLACE,51.497925,-0.1431145,528993,179298
27/04/2013,BRIDGE PLACE,51.49338,-0.1446252,528901,178790
27/04/2013,HARROW ROAD,51.52653,-0.2079486,524415,182367
27/04/2013,LONDON STREET,51.51669,-0.1757188,526678,181328
27/04/2013,UPPER TACHBROOK STREET,51.49351,-0.139593,529250,178813
27/04/2013,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
27/04/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
27/04/2013,WARWICK WAY,51.490376,-0.1462504,528797,178453
27/04/2013,WESTBOURNE GROVE,51.515175,-0.1939386,525418,181128
04/07/2012,BENNET STREET,51.507217,-0.1399854,529184,180337
04/07/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
04/07/2012,ELIZABETH STREET,51.493107,-0.149751,528546,178750
04/07/2012,JERMYN STREET,51.507893,-0.1383138,529298,180415
04/07/2012,LITTLE PORTLAND STREET,51.51714,-0.1414102,529057,181438
04/07/2012,PRAED STREET,51.515957,-0.1749476,526734,181248
04/07/2012,QUEENSWAY,51.515408,-0.1882362,525813,181164
04/07/2012,WARWICK AVENUE,51.523655,-0.1851843,526002,182086
04/07/2012,WILTON ROAD,51.49502,-0.1426527,529033,178976
12/07/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
12/07/2012,BURNE STREET,51.520916,-0.1692065,527118,181809
12/07/2012,ECCLESTON SQUARE,51.492588,-0.1428849,529024,178705
12/07/2012,ELIZABETH STREET,51.493107,-0.149751,528546,178750
12/07/2012,GREAT WINDMILL STREET,51.510685,-0.1339126,529596,180733
12/07/2012,HANWAY STREET,51.509796,-0.1279754,530010,180645
12/07/2012,HUGH STREET,51.49281,-0.1449647,528879,178726
12/07/2012,LEICESTER SQUARE,51.510597,-0.1308323,529810,180729
12/07/2012,LISLE STREET,51.511753,-0.1293796,529907,180860
12/07/2012,MARYLEBONE ROAD,51.52324,-0.1504129,528415,182100
12/07/2012,ORANGE STREET,51.509495,-0.1299477,529874,180608
12/07/2012,PARK ROAD,51.526485,-0.162943,527537,182439
12/07/2012,SHELDON SQUARE,51.531372,-0.2071436,524458,182906
12/07/2012,STAFFORD STREET,51.508663,-0.1415104,529074,180495
12/07/2012,WESTBOURNE PARK VILLAS,51.518692,-0.1889706,525753,181528
12/07/2012,WHITCOMB STREET,51.50816,-0.1297861,529889,180460
20/03/2013,CAMBRIDGE STREET,51.488537,-0.1403703,529210,178259
20/03/2013,HARROW ROAD,51.52653,-0.2079486,524415,182367
20/03/2013,MARBLE ARCH,51.513344,-0.1590076,527847,180985
20/03/2013,TEMPLE PLACE,51.511017,-0.1149549,530910,180804
20/03/2013,TYLER'S COURT,51.51328,-0.1338857,529590,181022
20/03/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
20/03/2013,WARWICK WAY,51.490376,-0.1462504,528797,178453
20/03/2013,WILTON ROAD,51.49502,-0.1426527,529033,178976
16/09/2013,ARTILLERY ROW,51.49695,-0.1356048,529517,179203
16/09/2013,BAKER STREET,51.51945,-0.156278,528019,181669
16/09/2013,BISHOP'S BRIDGE ROAD,51.516167,-0.1871855,525884,181250
16/09/2013,BUCKINGHAM GATE,51.500042,-0.1407178,529153,179537
16/09/2013,DUKE STREET,51.51647,-0.1525069,528289,181344
16/09/2013,PICCADILLY,51.50311,-0.1497623,528517,179863
16/09/2013,ST GEORGE'S DRIVE,51.48896,-0.1398633,529244,178307
16/09/2013,STATION FORECOURT CHARING CROSS,51.508392,-0.1257992,530165,180493
16/09/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
16/09/2013,WINCHESTER STREET,51.488346,-0.1424667,529065,178234
13/09/2013,BAKER STREET,51.51945,-0.156278,528019,181669
13/09/2013,BLANDFORD STREET,51.517902,-0.1571334,527964,181495
13/09/2013,DUKE STREET,51.51647,-0.1525069,528289,181344
13/09/2013,JAMES STREET,51.51231,-0.1231308,530339,180933
13/09/2013,OLD BOND STREET,51.50891,-0.1408518,529119,180524
06/03/2013,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
06/03/2013,ECCLESTON BRIDGE,51.494102,-0.1466265,528760,178867
06/03/2013,GREAT CUMBERLAND PLACE,51.514194,-0.1593441,527821,181079
06/03/2013,PRINCES SQUARE,51.51305,-0.1912772,525609,180896
06/03/2013,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
06/03/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
12/12/2012,BELGRAVE ROAD,51.49032,-0.138078,529364,178461
12/12/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
12/12/2012,ECCLESTON BRIDGE,51.494102,-0.1466265,528760,178867
12/12/2012,OXFORD STREET,51.51545,-0.1406854,529112,181251
12/12/2012,PRAED STREET,51.515957,-0.1749476,526734,181248
12/12/2012,TERMINUS PLACE,51.49606,-0.1447318,528886,179088
12/12/2012,WARWICK WAY,51.490376,-0.1462504,528797,178453
29/04/2013,ALDERNEY STREET,51.489693,-0.1440829,528949,178381
29/04/2013,BULLEID WAY,51.493763,-0.1455167,528838,178831
29/04/2013,DELAMERE TERRACE,51.522053,-0.187027,525879,181904
29/04/2013,ECCLESTON BRIDGE,51.494102,-0.1466265,528760,178867
29/04/2013,HUGH STREET,51.49281,-0.1449647,528879,178726
29/04/2013,MELCOMBE STREET,51.522713,-0.1600959,527745,182025
29/04/2013,NORFOLK SQUARE,51.51642,-0.172798,526881,181303
29/04/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
29/04/2013,WARWICK WAY,51.490376,-0.1462504,528797,178453
12/10/2012,HAY HILL,51.50893,-0.1441656,528889,180520
12/10/2012,LEINSTER SQUARE,51.513634,-0.1914341,525596,180961
12/10/2012,MAIDA VALE,51.53088,-0.1844811,526031,182891
12/10/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
12/10/2012,WILTON ROAD,51.49502,-0.1426527,529033,178976
04/08/2012,BRIDGE PLACE,51.49338,-0.1446252,528901,178790
04/08/2012,CHARLWOOD STREET,51.48896,-0.1398633,529244,178307
04/08/2012,LUPUS STREET,51.48819,-0.1381329,529366,178224
04/08/2012,Not Recorded,0.0,0.0,0,0
04/08/2012,SHAFTESBURY AVENUE,51.511116,-0.1335539,529619,180782
04/08/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
20/01/2013,Not Recorded,0.0,0.0,0,0
13/04/2013,CAMBRIDGE STREET,51.488537,-0.1403703,529210,178259
13/04/2013,ECCLESTON PLACE,51.49433,-0.1473808,528707,178891
13/04/2013,STRAND,51.51249,-0.1159893,530834,180966
13/04/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
13/04/2013,WARWICK WAY,51.490376,-0.1462504,528797,178453
14/08/2012,Not Recorded,0.0,0.0,0,0
14/08/2012,OXFORD STREET,51.51545,-0.1406854,529112,181251
14/08/2012,SHAFTESBURY AVENUE,51.511116,-0.1335539,529619,180782
14/08/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
14/08/2012,WILTON ROAD,51.49502,-0.1426527,529033,178976
27/11/2012,ASHLEY PLACE,51.496082,-0.141601,529103,179096
27/11/2012,BUCKINGHAM GATE,51.500042,-0.1407178,529153,179537
27/11/2012,CASTLE LANE,51.49843,-0.139204,529263,179361
27/11/2012,GILLINGHAM STREET,51.49421,-0.1408741,529159,178889
27/11/2012,HATHERLEY STREET,51.493114,-0.1370003,529431,178774
27/11/2012,LONG'S COURT,51.50972,-0.1300249,529868,180633
27/11/2012,PALACE STREET,51.496956,-0.139264,529263,179197
27/11/2012,SOUTH MOLTON STREET,51.514175,-0.1490951,528532,181094
27/11/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
27/11/2012,WARWICK WAY,51.490376,-0.1462504,528797,178453
09/06/2012,GROSVENOR PLACE,51.500652,-0.1497466,528525,179590
09/06/2012,HARROW ROAD,51.52653,-0.2079486,524415,182367
09/06/2012,Not Recorded,0.0,0.0,0,0
25/05/2012,BUCKINGHAM GATE,51.500042,-0.1407178,529153,179537
25/05/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
25/05/2012,GROSVENOR GARDENS,51.495914,-0.1454804,528835,179070
25/05/2012,Not Recorded,0.0,0.0,0,0
25/05/2012,VICTORIA STREET,51.49657,-0.1428958,529012,179148
25/05/2012,WILTON ROAD,51.49502,-0.1426527,529033,178976
20/04/2012,PICCADILLY CIRCUS,51.510098,-0.134549,529553,180667
20/04/2012,RANDOLPH AVENUE,51.527542,-0.1831121,526135,182522
20/05/2013,COSWAY STREET,51.5219,-0.166183,527325,181924
08/09/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
08/09/2012,QUEENSWAY,51.515408,-0.1882362,525813,181164
08/09/2012,ST JAMES'S MARKET,51.50925,-0.133373,529637,180575
08/09/2012,ST STEPHEN'S GARDENS,51.518166,-0.1960399,525264,181457
11/04/2012,ALEXANDER STREET,51.51768,-0.1926862,525498,181409
11/04/2012,BUCKINGHAM PALACE ROAD,51.492702,-0.147683,528691,178709
11/04/2012,GILLINGHAM STREET,51.49421,-0.1408741,529159,178889
11/04/2012,HARROW ROAD,51.52653,-0.2079486,524415,182367
11/04/2012,Not Recorded,0.0,0.0,0,0
11/04/2012,SHIRLAND ROAD,51.525486,-0.1914112,525565,182279
26/04/2012,CHESTER ROW,51.49293,-0.1533727,528295,178725
26/04/2012,Not Recorded,0.0,0.0,0,0
26/04/2012,RADNOR MEWS,51.514748,-0.1721333,526932,181118
26/04/2012,REGENT STREET,51.516247,-0.1423526,528994,181336
07/08/2012,BREWER STREET,51.511192,-0.1361615,529438,180786
07/08/2012,BUCKINGHAM GATE,51.500042,-0.1407178,529153,179537
07/08/2012,CHILTERN STREET,51.51964,-0.1552036,528093,181692
07/08/2012,VAUXHALL BRIDGE ROAD,51.490948,-0.1342075,529631,178538
28/08/2013,HOWICK PLACE,51.496666,-0.1370714,529416,179169
28/08/2013,INVERNESS TERRACE,51.512222,-0.1863594,525952,180813
28/08/2013,KENSINGTON GARDENS SQUARE,51.514603,-0.190776,525639,181070
28/08/2013,LUPUS STREET,51.48819,-0.1381329,529366,178224
28/08/2013,PARK LANE,51.506317,-0.1523064,528332,180215
28/08/2013,PORCHESTER ROAD,51.517197,-0.1881652,525813,181363
28/08/2013,SHOULDHAM STREET,51.51885,-0.1646914,527437,181587
28/08/2013,SPENCER PLACE,51.496426,-0.1359865,529492,179144
28/08/2013,TACHBROOK STREET,51.49196,-0.1384015,529337,178643
28/08/2013,VICTORIA STREET,51.49657,-0.1428958,529012,179148
28/08/2013,WESTBOURNE GROVE,51.515175,-0.1939386,525418,181128
25/04/2012,BROADWAY,51.497852,-0.1339976,529626,179306
25/04/2012,EATON LANE,51.497013,-0.1446505,528889,179194
25/04/2012,NOTTINGHAM PLACE,51.52131,-0.1530894,528235,181881
25/04/2012,OLD PYE STREET,51.497536,-0.1323392,529742,179274
25/04/2012,SOUTHAMPTON STREET,51.511536,-0.1226869,530372,180848
